"Y" "X1" "X2" "X3"
"1" 43 12 "0"
"1" 50 5 "1"
"1" 66 65 "1"
"1" 64 45 "0"
"1" 49 92 "0"
"1" 45 44 "0"
"0" 51 14 "0"
"0" 43 7 "1"
"0" 53 48 "1"
"1" 40 4 "1"
"0" 52 71 "0"
"0" 35 45 "1"
"1" 39 9 "0"
"0" 59 72 "0"
"1" 61 39 "1"
"1" 67 34 "0"
"0" 53 56 "1"
"1" 50 17 "1"
"1" 39 11 "0"
"0" 58 46 "0"
"1" 62 34 "1"
"0" 51 20 "0"
"0" 44 11 "1"
"1" 67 5 "1"
"1" 31 92 "0"
"1" 47 89 "0"
"0" 39 61 "1"
"1" 66 93 "1"
"0" 31 19 "1"
"0" 36 21 "0"
"1" 36 90 "0"
"0" 69 65 "0"
"0" 47 80 "0"
"1" 62 73 "1"
"0" 63 14 "0"
"1" 31 60 "0"
"0" 51 4 "0"
"0" 43 76 "1"
"0" 50 41 "0"
"1" 59 70 "1"
"1" 69 90 "1"
"1" 58 73 "1"
"1" 51 26 "1"
"0" 46 93 "1"
"0" 57 86 "0"
"1" 48 63 "0"
"0" 50 20 "0"
"0" 45 49 "1"
"1" 65 3 "1"
"0" 51 33 "0"
"1" 48 75 "1"
"1" 46 5 "0"
"1" 38 11 "0"
"0" 66 53 "0"
"1" 44 61 "0"
"0" 60 29 "0"
"0" 34 35 "1"
"1" 51 31 "0"
"1" 32 40 "0"
"0" 52 70 "0"
"0" 50 61 "1"
"0" 38 54 "1"
"0" 70 32 "0"
"0" 56 66 "0"
"1" 61 78 "1"
"1" 30 98 "0"
"0" 68 56 "0"
"1" 33 89 "0"
"0" 57 98 "0"
"0" 53 29 "0"
"1" 66 19 "1"
"0" 38 44 "1"
"0" 60 16 "0"
"1" 35 28 "1"
"1" 69 44 "1"
"1" 55 95 "1"
"1" 45 35 "0"
"0" 58 59 "0"
"1" 41 37 "0"
"0" 61 28 "1"
"1" 55 67 "1"
"1" 53 48 "1"
"0" 54 28 "0"
"0" 63 8 "1"
"0" 49 77 "1"
"1" 30 39 "0"
"0" 38 85 "0"
"1" 49 69 "1"
"1" 31 76 "0"
"0" 64 99 "0"
"0" 48 89 "1"
"1" 39 1 "0"
"1" 61 94 "0"
"0" 50 64 "0"
"0" 39 10 "0"
"0" 34 29 "1"
"0" 32 89 "1"
"0" 64 37 "0"
"1" 35 66 "0"
"1" 61 54 "1"
"0" 30 22 "0"
"0" 39 48 "1"
"0" 55 70 "0"
"0" 47 72 "1"
"1" 36 70 "0"
"0" 37 75 "1"
"0" 32 12 "1"
"0" 51 80 "0"
"1" 66 90 "1"
"0" 30 37 "1"
"1" 40 36 "0"
"0" 54 35 "0"
"0" 51 87 "0"
"0" 62 69 "0"
"1" 53 8 "1"
"0" 35 62 "1"
"0" 57 13 "0"
"1" 58 25 "1"
"0" 36 19 "1"
"0" 33 88 "1"
"1" 62 73 "1"
"1" 54 12 "1"
"1" 35 54 "0"
"0" 40 66 "0"
"1" 47 83 "1"
"1" 68 98 "1"
"0" 41 52 "1"
"1" 57 83 "1"
"1" 63 15 "1"
"1" 34 91 "1"
"0" 41 86 "1"
"0" 47 15 "1"
"1" 39 15 "0"
"0" 63 24 "0"
"0" 45 41 "1"
"1" 50 6 "0"
"0" 69 76 "1"
"1" 38 81 "0"
"0" 53 54 "0"
"0" 52 4 "0"
"1" 55 45 "1"
"1" 41 95 "0"
"1" 39 59 "0"
"1" 62 20 "1"
"1" 38 42 "0"
"1" 43 6 "0"
"0" 40 25 "1"
"0" 68 48 "0"
"0" 54 42 "0"
"1" 34 7 "0"
"1" 57 60 "1"
"1" 52 9 "1"
"1" 57 95 "1"
"0" 48 31 "1"
"1" 66 86 "1"
"1" 50 53 "1"
"0" 49 56 "1"
"0" 43 83 "0"
"0" 43 43 "1"
"1" 31 13 "0"
"1" 59 41 "1"
"1" 56 52 "1"
"1" 52 25 "1"
"0" 47 36 "0"
"1" 50 84 "1"
"0" 67 1 "0"
"1" 45 14 "0"
"1" 46 70 "0"
"1" 60 23 "1"
"0" 41 95 "1"
"0" 52 29 "0"
"0" 63 100 "0"
"0" 42 68 "1"
"0" 32 83 "1"
"1" 46 60 "0"
"0" 45 61 "1"
"1" 43 43 "1"
"0" 56 58 "0"
"1" 53 6 "1"
"0" 39 73 "1"
"1" 31 35 "1"
"0" 43 51 "1"
"1" 61 41 "1"
"0" 33 5 "1"
"1" 36 2 "0"
"1" 50 78 "0"
"1" 57 72 "1"
"0" 41 62 "1"
"1" 66 92 "1"
"0" 65 82 "0"
"1" 62 72 "1"
"1" 55 54 "1"
"0" 37 79 "1"
"0" 31 71 "1"
"1" 39 56 "0"
"1" 68 26 "0"
"0" 37 3 "1"
"1" 34 5 "0"
"0" 55 28 "1"
"0" 42 33 "1"
"0" 35 67 "1"
"0" 64 95 "0"
"1" 44 33 "0"
"1" 65 51 "1"
"0" 61 95 "0"
"1" 51 46 "1"
"1" 64 57 "1"
"0" 34 84 "1"
"0" 58 35 "0"
"1" 44 8 "0"
"0" 34 15 "1"
"0" 31 9 "1"
"1" 34 62 "1"
"0" 66 51 "0"
"1" 34 30 "0"
"0" 49 61 "1"
"0" 44 86 "1"
"1" 41 37 "0"
"1" 31 35 "0"
"0" 49 83 "0"
"0" 59 73 "0"
"1" 38 67 "0"
"0" 30 2 "1"
"0" 57 69 "0"
"1" 62 38 "1"
"1" 60 2 "1"
"1" 32 24 "0"
"0" 42 17 "1"
"0" 36 48 "1"
"0" 37 29 "1"
"1" 66 99 "1"
"1" 54 60 "1"
"1" 58 52 "1"
"0" 38 5 "0"
"1" 33 61 "1"
"1" 42 16 "0"
"1" 39 20 "1"
"1" 60 59 "1"
"1" 51 1 "1"
"0" 53 91 "0"
"1" 37 40 "1"
"0" 47 42 "1"
"0" 58 76 "0"
"1" 60 12 "1"
"1" 39 76 "0"
"0" 54 27 "0"
"0" 69 78 "0"
"1" 56 8 "1"
"0" 32 46 "1"
"1" 67 10 "0"
"1" 45 82 "0"
"1" 58 47 "1"
"0" 43 54 "1"
"0" 53 49 "0"
"0" 33 80 "1"
"1" 40 81 "0"
"1" 44 74 "0"
"1" 59 96 "1"
"1" 56 53 "1"
"1" 67 17 "1"
"1" 50 91 "1"
"0" 65 24 "0"
"1" 58 72 "1"
"0" 52 31 "0"
"0" 41 81 "1"
"1" 36 9 "0"
"1" 57 41 "1"
"0" 56 37 "0"
"0" 57 65 "1"
"0" 34 76 "1"
"1" 45 47 "0"
"0" 61 57 "0"
"0" 60 19 "0"
"0" 57 23 "0"
"1" 61 36 "1"
"1" 57 47 "1"
"0" 61 66 "0"
"1" 35 95 "1"
"1" 69 56 "1"
"0" 44 66 "1"
"1" 48 32 "0"
"1" 37 31 "0"
"0" 34 31 "1"
"0" 41 75 "1"
"0" 49 56 "1"
"0" 31 30 "1"
"0" 43 71 "1"
"0" 45 66 "1"
"0" 65 26 "0"
"1" 65 98 "1"
"0" 42 94 "1"
"1" 47 81 "1"
"1" 41 44 "0"
"1" 60 39 "1"
"1" 53 97 "1"
"1" 47 15 "0"
"0" 59 39 "0"
"0" 40 88 "1"
"0" 46 85 "1"
"0" 50 56 "0"
"0" 35 1 "1"
"1" 34 69 "0"
"0" 41 61 "1"
"1" 44 32 "0"
"0" 34 96 "1"
"1" 34 70 "0"
"1" 56 96 "1"
"0" 40 31 "1"
"0" 33 8 "1"
"0" 67 88 "0"
"1" 46 15 "0"
"0" 53 34 "0"
"0" 65 3 "0"
"1" 50 3 "1"
"0" 32 70 "1"
"0" 30 96 "1"
"1" 63 53 "1"
"1" 49 89 "0"
"1" 52 97 "1"
"0" 46 36 "1"
"0" 59 49 "0"
"0" 61 48 "0"
"1" 49 27 "0"
"1" 32 77 "0"
"0" 50 53 "0"
"1" 48 52 "0"
"0" 65 80 "0"
"1" 33 63 "0"
"0" 37 68 "1"
"0" 31 30 "0"
"0" 50 96 "0"
"1" 43 27 "0"
"0" 68 20 "0"
"0" 43 67 "1"
"0" 35 49 "1"
"1" 61 100 "1"
"0" 32 39 "1"
"1" 64 39 "1"
"1" 37 73 "1"
"1" 39 45 "0"
"1" 41 55 "0"
"0" 68 16 "0"
"0" 47 92 "1"
"0" 41 25 "1"
"0" 54 57 "0"
"1" 36 66 "0"
"0" 59 66 "1"
"0" 64 29 "0"
"0" 68 12 "0"
"0" 55 90 "0"
"0" 53 75 "0"
"1" 47 70 "0"
"0" 64 39 "0"
"0" 44 67 "1"
"0" 46 64 "1"
"0" 61 98 "0"
"0" 45 85 "1"
"0" 31 20 "1"
"1" 68 55 "1"
"0" 33 43 "1"
"0" 48 17 "1"
"0" 52 76 "0"
"1" 46 73 "0"
"0" 33 52 "1"
